PartnershipID,CompanyID1,CompanyID2,Description,DateEstablished,
1,1,2,Eco-friendly smart home solutions collaboration,2004-05-17,
2,3,4,Joint venture for smart security systems,2006-07-21,
3,5,6,Smart lighting technology partnership,2008-03-14,
4,7,8,Integration of smart entertainment and security systems,2009-11-30,
5,9,10,Collaboration for energy-efficient smart homes,2010-04-15,
6,11,12,Joint venture for smart appliances,2011-06-17,
7,13,14,Smart home automation technology collaboration,2012-09-09,
8,15,16,Joint venture for smart energy management,2013-02-12,
9,17,18,Collaboration for innovative smart home solutions,2014-08-05,
10,19,20,Smart home connectivity solutions partnership,2015-10-23,
11,21,22,Joint venture for smart security solutions,2016-03-08,
12,23,24,Collaboration for smart entertainment systems,2017-05-11,
13,25,26,Joint venture for smart lighting solutions,2018-07-19,
14,27,28,Collaboration for smart appliance connectivity,2019-01-20,
15,29,30,Joint venture for smart home ecosystems,2019-11-15,
16,31,32,Collaboration for smart energy solutions,2020-04-22,
17,33,34,Joint venture for smart security and monitoring systems,2020-08-10,
18,35,36,Collaboration for smart home automation,2021-01-07,
19,37,38,Joint venture for smart home connectivity,2021-05-17,
20,39,40,Collaboration for eco-friendly smart homes,2021-09-30,
21,41,42,Joint venture for smart home innovation,2022-01-25,
22,43,44,Collaboration for smart energy management systems,2022-04-12,
23,45,46,Joint venture for smart home security solutions,2022-07-18,
24,47,48,Collaboration for smart entertainment solutions,2022-10-06,
25,49,50,Joint venture for intelligent lighting systems,2022-11-13,
26,1,15,Collaboration for smart home technology innovation,2023-03-22,
27,2,16,Joint venture for smart appliance development,2023-06-05,
28,5,25,Collaboration for smart energy efficiency,2023-08-15,
29,6,26,Joint venture for smart home security integration,2023-09-17,
30,9,35,Collaboration for smart home ecosystem development,2023-10-02,
